id service;услуга;service category id
1;"Вакцина для иммунитета ""Пуревакс""";1
2;"Препарат от блох и клещей ""Стронгхолд""";1
3;"Глистогонное ""Мильбемакс"" (улучшенное)";1
4;Пуревакс: вакцина для кошки (улучшенная);1
5;Стерилизация;1
6;"Капли от блох и клещей ""Стронгхолд""";1
7;Палочки МНЯМС для котят с индейкой;2
8;ProPlan для котят 2-12 месяцев;2
9;Корм с курицей и рисом (1 порция);2
10;"Игрушка для кошек ""Танцующая дразнилка""";3
11;Наполнитель для туалета;4
12;Кошачья миска для корма;4
13;Наполнитель для туалета (1 порция);4
14;Хрустящие подушечки, 1 порция;2
15;Общий медицинский осмотр питомца;1
16;"Игрушка для кошки ""Зооник Шуршик""";3
17;"Средство для чистки ушей ""Отифри""";1
18;Нобивак: вакцина для кошки;1
19;Вакцина против вируса;1
20;Баночка вкусного желе;2
21;Кастрация кота;1
22;Вакцина против вирусов;1
23;1 порция вкуснейшего корма;2
24;Глистогонное Каниквантел;1
25;Кастрация;1
26;"Паштет для котят ""Royal Canin""";2
27;Избавить кошечку от глистов;1
28;Избавить кошечку от блох и клешей;1
29;Стоморджил (для лечения зубов);1
30;Избавить Айву от глистов;1
31;Стерилизация Айвы;1
32;Стерилизация Эвелины;1
33;Избавить Айву от блох и клещей;1
34;Защитить Айву от вирусов;1
35;Избавить Эвелин от глистов;1
36;Избавить Эвелин от блох и клещей;1
37;Защитить Эвелин от вирусов;1
38;Защитить Алексу от блох и клещей!;1
39;Защитить иммунитет Луны;1
40;Избавить Алексу от глистов;1
41;Защитить Алексу от вирусов;1
42;"Лечебный корм Ренал ""Роял Канин""";2
43;Стерилизация Ванессы;1
44;Защитить Ванессу от вирусов;1
45;Избавить Ванессу от глистов;1
46;Защитить Ванессу от вирусов (Оплачено);1
47;Избавить Кузю от инфекций;1
48;Защитить Алексу от блох и клещей (Оплачено);1
49;Стерилизация Ванессы (Оплачено);1
50;Избавить Ванессу от глистов (Оплачено);1
51;"Игрушка для Тимоши ""Танцующая дразнилка"" (Оплачено)";3
52;"Игрушка для Кузи ""Танцующая дразнилка""";3
53;Избавить Кузю от инфекций (Оплачено);1
54;"Игрушка для Тигры ""Танцующая дразнилка"" (Оплачено)";3
55;Защитить Тигру от вирусов (Оплачено);1
56;"Игрушка для Айвы ""Танцующая дразнилка"" (Оплачено)";3
57;Избавить Эвелин от блох и клещей (Оплачено);1
58;"Игрушка для Эвелин ""Танцующая дразнилка"" (Оплачено)";3
59;"Игрушка для кошки ""Зооник Шуршит"" (Оплачено)";3
60;Избавить Айву от глистов (Оплачено);1
61;Биохимия крови;1
62;Содержание Бабули на лечении;1
63;Специализированный корм для Бабули;2
64;"Игрушка для Алексы ""Танцующая дразнилка"" (Оплачено)";3
65;Избавить Алексу от глистов (Оплачено);1
66;"Игрушка для Кузи ""Танцующая дразнилка"" (Оплачено)";3
67;"Игрушка для Ванессы ""Танцующая дразнилка"" (Оплачено)";3
68;Избавить Бритни от блох и клещей;1
69;Избавить Бабулю от блох и клещей;1
70;Стерилизация Бритни;1
71;Стерилизация Саджи;1
72;Избавить Бритни от глистов;1
73;Защитить Бритни от вирусов;1
74;Избавить Саджи от блох и клещей;1
75;Избавить Патрика от блох и клещей;1
76;Избавить от кошачьего герпеса;1
77;Защитить Саджи от вирусов;1
78;Избавить Саджи от глистов;1
79;Кастрация Патрика;1
80;Защитить Патрика от вирусов;1
81;Избавить Патрика от глистов;1
82;Стерилизация Софы;1
83;Стерилизация Паприки;1
84;Стерилизация Сансары;1
85;Избавить Паприку от глистов;1
86;Избавить Паприку от блох и клещей;1
87;Защитить Паприку от вирусов;1
88;Избавить Джемму от глистов;1
89;Защитить Джемму от вирусов;1
90;Избавить Джемму от блох;1
91;Избавить Сансару от блох;1
92;Избавить Сансару от глистов;1
93;Защитить Сансару от вирусов;1
94;Стерилизация Эсмеральды;1
95;Избавить Эсмеральду от блох;1
96;Избавить Эсмеральду от глистов;1
97;Защитить Эсмеральду от вирусов;1
98;Стерилизация Лоры;1
99;Избавить Лору от глистов;1
100;"Мягкий корм ""Gemon""";2
101;Избавить Лору от блох;1
102;Защитить Лору от вирусов;1
103;Избавить Марселя от блох;1
104;Защитить Лилу от вирусов;1
105;Стерилизация Лилу;1
106;Избавить Лилу от глистов;1
107;Избавить Лилу от блох;1
108;Дневная порция вкуснейшего корма;2
109;Суточная норма наполнителя;4
110;Защитить Марселя от вирусов;1
111;Шампунь для лечения дерматита;1
112;УЗИ для Софы;1
113;Кастрация Бисквита;1
114;Избавить Бисквита от блох;1
115;Избавить Марселя от глистов;1
116;Препарат Гордокс для лечения. Весь курс.;1
117;Избавить Бисквита от глистов;1
118;Защитить Бисквита от вирусов;1
119;Анализы для Софы;1
120;Стерилизация Дейзи;1
121;Избавить Дейзи от глистов;1
122;Защитить Дейзи от вирусов;1
123;Избавить Дейзи от блох;1
124;Избавить Бониту от глистов;1
125;Избавить Бониту от блох;1
126;Защитить Бониту от вирусов;1
127;Кастрация Ван Гога;1
128;Стерилизация Милки;1
129;Стерилизация Нукси;1
130;Избавить Ван Гога от глистов;1
131;Защитить Ван Гога от вирусов;1
132;Избавить Ван Гога от блох;1
133;Избавить Нукси от блох и клещей;1
134;Избавить Тропиканку от глистов;1
135;Избавить Нукси от глистов;1
136;Порция вкуснейшего корма;2
137;Избавить Тропиканку от блох;1
138;Защитить Нукси от вирусов;1
139;Защитить Тропиканку от вирусов;1
140;Защитить Кирпичика от вирусов;1
141;Защитить Печеньку от вирусов;1
142;Стерилизация Печеньки;1
143;Избавить Печеньку от глистов;1
144;Избавить питомца от глистов;1
145;Избавить питомца от блох;1
146;Защитить питомца от вирусов;1
147;Защитить от вирусов и повысить иммунитет;1
148;Порция корма;2
149;Кастрация питомца;1
150;Стерилизация питомца;1
151;Попрыгун;3
152;Корм с курицей и рисом;2
153;Избавить кошку от простуды;1
154;Реклама;5
155;Накормить кормом;2
156;Рекламировать питомца (пакет Mini);5
157;Уколы Амоксицилин;1
158;Рекламировать питомца (пакет Standart);5
159;Рекламировать питомца (пакет Maxi);5
160;Кормить питомца;2
161;1 КотоДень;6
162;1 КотоМесяц;6
163;1 ПёсоДень;6
164;1 КотоНеделя;6
165;Избавить питомца от кашля;1
166;Противовирусная сыворотка;1
167;УЗИ;1
168;Анализ крови;1
169;ПёсоДень;6
170;Дневная норма корма Royal Canin;2
171;ПёсоНеделя;6
172;1 ПёсоНеделя;6
173;Корм для котят и их мамы;2
174;КотоДень;6
175;КотоНеделя;6
176;Стоп-Кокцид;1
177;Вентер;4
178;Защитить от вирусов;1
179;ПёсоМесяц;6
180;Препарат Гризеофульвин;1
181;Защитить питомца от вирусов (Пуревакс);1
182;Повысить иммунитет;1
183;Избавить питомца от бронхита;1
184;Супрастин;1
185;Вылечить от воспаления и язв;1
186;Витаминный раствор;1
187;1 ПёсоМесяц;6
188;Избавить питомца от тошноты;1
189;Антивирусные капли в нос и в глаза;1
190;Операция по остеосинтезу;1
191;КотоМесяц;6
192;Шампунь для лечения грибка;1
193;Чипирование и ветпаспорт для питомца;1
194;Корм для котят;2
195;Избавить питомца от грибка;1
196;Успокаивающий ошейник с феромонами;1
197;One Kitty Week;6
198;Rid cat colds;7
199;Antivirus vaccine;1
200;Antivirus serum;1
201;Мазь для глазика;1
202;Препарат от расстройства желудка;1
203;One Kitty Day;6
204;Лечение дерматита и ушного клеща.;1
205;Тест;1
206;Cat food with chicken and rice;2
207;Cat food for baby kittens;2
208;Улучшить микрофлору кишечника;1
209;Корм для кошек Royal Canin Gastro Intestinal Moderate Calorie;2
210;Помогите питомцу избавиться от простуды;1
211;Помогите питомцу завершить курс лечения;1
212;Promote a pet (Package Maxi);5
213;Уборка в клетке;4
214;Феромоны для кошек;1
215;One Kitty Month;6
216;Медцинский осмотр питомца и лечение;1
217;Cat food;2
218;Перелом лапки;1
219;Portion of dog food;2
220;Daily ration of delicious cat food;2
221;Избавить питомца от герпеса;1
222;Cat Litter;4
223;Медицинский осмотр питомца и анализы;1
224;Медицинский осмотр питомца;1
225;Содержание;4
226;Лечение десен;1
227;Операция по удалению опухоли и взятие анализа на гистологию во рту.;1
228;Терапия после чистки и выдергивания зубов.;1
229;Лечение линьки;1
230;Лечение ушей;1
231;Избавить питомца от блох и паразитов;1
232;Избавить питомца от паразитов;1
233;Новогодний КотоНабор;6
234;Лечение дерматита;1
235;Новогодний ПёсоНабор;6
236;Прививка от бешенства;1
237;Избавить питомца от цистита;1
238;Корм;2
239;Избавить кошку от простуды и расстройства желудка;1
240;Наполнитель для туалета Fresh Step;4
241;Тест на коронавирус;1
242;Химиотерапия;1
243;Royal Canin Mobility C2P+;4
244;Биохимический анализ крови;1
245;Рентген питомца;1
246;УЗИ питомца;1
247;Капли для глазика;1
248;One Doggy Day;6
249;Ошейник с адресником;4
250;Promote a pet (Package Mini);5
251;Защитите питомца от вирусов;1
252;Препараты от расстройства желудка;1
253;Помогите питомцу в лечение болезни почек;1
254;Избавить питомца от расстройства желудка;1
255;Вылечить от цистита;1
256;Лечение глазика;1
257;Профилактическое обследование;1
258;Вылечите питомцу ушки;1
259;Забор и анализ крови;1
260;Помогите питомцу оплатить перелет;4
261;Прием врача и анализ крови;1
262;Лечение кошечки;1
263;Лечебный корм на месяц;1
264;Анализ мочи;1
265;Капли для глаз;1
266;Препарат для лечения почечной недостаточности;1
267;Покупка кондиционера для приюта;4
268;УЗИ и анализ крови питомца;1
269;Лечения лишая;1
270;Шприцы;1
271;Ампутация лапки;1
272;Корм для восстановления;1
273;Услуга Грумера;4
274;Лечение коньюктивита;1
275;Анализы питомца;1
276;Лечение зубов;1
277;Препарат Гептрал;1
278;Повторное УЗИ и сдача крови;1
279;Прием врача;1
280;Добавка к корму;2
281;Лежак для питомца;4
282;Препараты для лечения глазика;1
283;Когтеточка;4
284;Лечение лапки;1
285;Вольер;4
286;Домик-когтеточка;4
287;Диетический корм;2
288;Стрижка;4
289;Операция;1
290;Лечебный корм;2
291;Лечение ушного клеща;1
292;Анализ;1
293;Мешок диетического корма;2
294;Лечение лишая;1
295;Прием врача и анализы питомца;1
296;Мешочек корма на месяц;2
297;Удаление глазика;1
298;Подгузники;4
299;Витамины;1
300;Лечение расстройства желудка;1
301;Лечебный корм для питомца;2
302;Препарат Эритропоэтин;1
303;Мешок корма;2
304;Новогодний подарок;7
305;МРТ;1
306;Анализы;1
307;Новогодний подарок для котиков;7
308;Проверка питомца на лишай;1
309;Курс лечения;1
310;Профилактики глазных инфекций;1
311;Профилактика глазных инфекций;1
312;Проверка на лишай;1
313;Курс препаратов;1
314;Лампа для проверки лишая;1
315;Диетический корм на месяц;2
316;Ремонт вольера;4
317;Корм на месяц;2
318;Анализы крови;1
319;Тест на вирусы;1
320;Лечение печени;1
321;Анализы и УЗИ;1
322;Удаление зубов;1
323;Прием врача, общий анализ крови;1
324;Прием врача, биохимический анализ крови;1
325;Общий анализ крови;1
326;Антибиотик;1
327;Защита от паразитов, клещей, блох;1
328;Защитить питомца от вирусов (Фелиген);1
329;Лечение от мочекаменной болезни;1
330;Защита от паразитов;1
331;Тест на вирус иммунодефицита и лейкемии;1
332;Лечение от герпесвирусной инфекции;1
333;Препараты для лечения почек и улучшения шерсти.;1
334;Корм на время лечения в стационаре;2
335;Обработка при поступлении;1
336;Иммуноферментный анализ крови;1
337;Избавить питомца от клещей;1
338;Переливание крови;1
339;УЗИ мочевого пузыря;1
340;Внутривенный катетер;1
341;Защитить питомца от клещей;1
342;Препараты для лечения гастрита;1
343;Лекарственные препараты;1
344;Обследование на предмет цистита;1
345;Корм при заболеваниях ЖКТ;2
346;Корм для коррекции веса;2
347;Корм при хронической почечной недостаточности;2
348;Корм при болезни почек;2
349;Кормовая добавка для нормализации микрофлоры;2
350;Цитологическое исследование новообразований;1
351;Спрей для лечения акне;1
352;Избавить питомца от одышки;1
353;Игрушка-кольцо + кость;3
354;Корм при расстройстве кишечника;2
355;Лечение расстройства кишечника;1
356;Toy for the dog;3
357;Препарат для улучшения микрофлоры кишечника;1
358;Корм при заболевании почек;2
359;Диагностический анализ;1
360;Лоток;4
361;Лечение от герпесвирусной инфекции.;1
362;Препараты при хронической почечной недостаточности;1
363;Корм при мочекаменной болезни;2
364;Препарат при хронической почечной недостаточности;1
365;Машинка для стрижки;4
366;Уколы Нейромидин;1
367;Анализы крови, УЗИ;1
368;Анализы мочи;1
369;Препарат для снижения фосфора;1
370;Препарат для профилактики язвы кишечника;1
371;Препараты при проблемах с печенью;1
372;Кастрация, операция на прямой кишке;1
373;Операция на прямой кишке;1
374;Избавить питомцев от блох;1
375;Корм при заболеваниях мочевыделительной системы;2
376;Экспресс-тест на вирусы;1
377;Корм при чувствительном пищеварении;2
378;Противовирусный иммуностимулирующий препарат;1
379;Препарат при проблемах с печенью;1
380;Порция корма Royal Canin;2
381;Препарат для улучшения состояния шерсти;1
382;Kitty Day;4
383;Удаление новообразований;1
384;Sterilization;1
385;Антибактериальный препарат;1
386;Шампунь для избавления от паразитов;1
387;МРТ головного мозга;1
388;Эхокардиография;1
389;Фелиферон;1
390;Корм для восстановления после болезни;2
391;Клетка для питомца;4
392;Корм для восстановления ЖКТ;2
393;Нахождение и лечение в стационаре;1
394;Капли-антибиотики для глаз;1
395;Корм в период выздоровления;2
396;МРТ головы;1
397;Противовирусный, иммуностимулятор;1
398;Корм при нарушении пищеварения;2
399;Послеоперационная обработка;1
400;Корма при проблемах с почками;2
401;Шампунь и маска с противовоспалительным эффектом;4
402;Корм при проблемах с почками;2
403;Восстанавливающие шампунь и маска;4
404;Противовирусная вакцина;1
405;Шампунь для восстановления шерсти;4
406;Корм для улучшения пищеварения и состояния шерсти;2
407;Иммуномодулирующий препарат;1
408;Препарат для лечения трихофитии;1
409;Постановка капельницы;1
410;Материалы для лечения;1
411;Корма в период выздоровления;2
412;Постановка катетера;1
413;Анализы крови на вирусы;1
414;Прививка от инфекций;1
415;Castration;1
416;Medical examination;1
417;Операция по удалению глазика;1
418;Тест на инфекции;1
419;Анализ на паразитов;1
420;Прием гастроэнтеролога;1
421;Корм при выздоровлении;2
422;Пребывание в стационаре;1
423;Избавить питомца от клеща;1
424;Глазные капли;1
425;Противозудный препарат;1
426;Препарат для печени;1
427;Чистка наружного слухового прохода;1
428;Микроскопия соскоба;1
429;Вакцина от стригущего лишая и микроспории;1
430;Препарат против нотоэдроза;1
431;Общий анализ мочи;1
432;УЗИ сердца;1
433;Риноскопия;1
434;Препарат при проблемах с желчным пузырем;1
435;Переноска;4
436;Комплексная терапия при ринотрахеите;1
437;Материалы и медикаменты;1
438;Препараты для лечения ринотрахеита;1
439;Исследование материала после риноскопии;1
440;Анализы на паразитов;1
441;Препарат для восстановления после операции;1
442;Корм при проблемах с печенью;2
443;Корм при восстановлении после операции;2
444;Препарат для стабилизации состояния;1
445;Операция по удалению зубов;1
446;Корм при восстановлении;2
447;Препараты при заболевании печени, холецистите;1
448;Anti-flea treatment;1
449;A portion of delicious food;2
450;Материалы для переливания крови;1
451;Операция по пластике хвоста;1
452;Анализ крови, УЗИ;1
453;Корм для восстановления пищеварения;2
454;Анализы на инфекции, УЗИ;1
455;Нахождение в стационаре;1
456;Противовирусная терапия;1
457;Корм при расстройстве пищеварения;2
458;Лечение от ринита;1
459;Терапия при отодектозе;1
460;Лечение отодектоза;1
461;"Паучи ""Pro Plan""";2
462;Ампутация пальцев;1
463;Лечение зубной полости;1
464;Препарат для лечения ринотрахеита;1
465;Корм при заболеваниях почек;2
466;Обработка питомца от блох;1
467;Противопаразитарная и иммуномодулирующая терапия;1
468;Обработка клетки;1
469;Fresh Step;4
470;Противогрибковый препарат;1
471;One Doggy Week;6
472;Лечение простуды;1
473;УЗИ мочевого пузыря, анализ мочи;1
474;Корм для улучшения пищеварения;2
475;Профилактический осмотр;1
476;Лечение от грибка;1
477;Обезболивающее для лапки;1
478;Protect against viruses;1
479;Nobivac: a vaccine for cats;1
480;Promote a pet (Package Standard);5
481;Корм для контроля веса;2
482;Лечение отита;1
483;"Глистогонный препарат ""Мильбемакс"" (улучшенный)";1
484;Препарат для восстановления;1
485;Препарат при анемии;1
486;Christmas box;7
487;Препараты для повышения иммунитета;1
488;Препараты для лечения простуды;1
489;Препарат для лечения лишая;1
490;Препарат для повышения иммунитета;1
491;Терапия при стоматите;1
492;Лечение ротовой полости;1
493;Корм при лечении ротовой полости;2
494;Препарат поддерживающей терапии;1
495;Капли для носика;1
496;Противорвотный препарат;1
497;Противовоспалительная терапия;1
498;Лечение воспаления десен;1
499;Удаление зубов, чистка зубного камня;1
500;Прием врача-офтальмолога;1
501;Препарат-антибиотик;1
502;Операция по лечению глаза;1
503;Препарат для лечения мочекаменной болезни;1
504;Вакцина против инфекций;1
505;Coronavirus test;1
506;Капли для промывания носа и от слезоточивости глаз;1
507;Специализированный корм;2
508;Лечение расстройства желудка и поддержание иммунитета;1
509;Лечение вирусного ринотрахеита;1
510;Экстпресс-тест на вирус иммунодефицита, вирус лейкемии;1
511;Поучаствовать в оплате антибиотика;1
512;Корм при лечении мочекаменной болезни;2
513;Успокаивающие капли;1
514;Лечение цистита;1
515;Препарат при почечной недостаточности;1
516;Анализы и УЗИ питомца;1
517;Лечение инфекционного заболевания;1
518;Гистология новообразования во рту;1
519;Общий и биохимический анализы крови;1
520;Препарат для лечения цистита;1
521;Клинический и биохимический анализы крови;1
522;Операция по удалению глаза;1
523;Операция буллотомия;1
524;Биохимический анализ;1
525;Препарат для лечения воспалительных и болевых синдромов;1
526;Рентген;1
527;Обследование питомца;1
528;Скрининг сердца;1
529;Магнитно-резонансная томография питомца;1
530;Операция по ушитию глазницы;1
531;Удаление зуба;1
532;Ветеринарные услуги;1
533;Клиническое обследование питомца;1
534;Бакпосев из уха;1
535;Анализ крови на вирусную лейкемию;1
536;Послеоперационный стационар;1
537;Операция на бедре;1
538;Анализ на коронавирус, лейкоз и панлейкопению;1
539;УЗИ и биохимический анализ крови;1
540;Избавить питомца от глистов и блох;1
541;Операция на ушке;1
542;Паштет для взрослых кошек Royal Canin;2
543;УЗИ брюшной полости;1
544;Лечение мочекаменной болезни;1
545;Лекарство от герпесвирусной инфекции;1
546;Биохимический и общий анализы крови;1
547;Прием у стоматолога;1
548;Эхокардиография сердца;1
549;Оплата лекарств;1
550;Первичный осмотр у врача;1
551;Санация полости рта;1
552;Лекарство от кашля;1
553;Прием у врача с визуальной диагностикой и УЗИ;1
554;Бальзам для лечения десен;1
555;Прием у врача;1
556;Средство от заложенности носа;1
557;Лекарства для Одуванчика;1
558;Подарочный ПёсоНабор;6
559;Пребиотики и витамины в виде пасты;1
560;МРТ питомца;1
561;Праздничный набор;7
562;Спазмалгон;1
563;Препарат Винилин;1
564;Прием у терапевта;1
565;Лекарства для Беляша;1
566;Анализы пцр;1
567;Корм в виде мусса;2
568;Вакцинация питомца;1
569;Анализы и препараты для питомца;1
570;Эндоскопия;1
571;Иммуноподдерживающая терапия;1
572;Лекарства для Шкоды;1
573;Удаление полипа;1
574;Лекарство от несахарного диабета;1
575;Специальный корм для котят Royal Canin;2
576;Иммуноподдерживающая терапия для Мариши;1
577;Тест на иммунодефицит и лейкемию;1
578;Лечение глаз;1
579;Приём офтальмолога;1
580;Лечебный корм при заболеваниях почек;2
581;Корм для лечения ЖКТ;2
582;Шампунь от кожного грибка;1
583;Лечение ушек;1
584;Ремонт комнаты;4
585;Лечебный корм при мочекаменных болезнях;2
586;Противогрибковое средство;1
587;Сбалансированный корм Royal Canin Kitten;2
588;Влажный корм Royal Canin Recovery;2
589;Прививка от бешенства и инфекций;1
590;"Препараты ""Квамател"" и ""Метрогил""";1
591;Шприцы и препараты для инъекций;1
592;Корм Gemon с курицей и рисом 1 порция;2
593;Royal Canin;4
594;Pro Plan Delicate: баночка вкусного желе;2
595;Лоток для кошки (туалет);4
;;
;;
;;
;;
;;
